0100092c,0000000b,00080372,46918
01000970,00000002,000ffffe,47375
010008ec,00000eca,000800e9,47674
0100096c,0000000f,00080273,47893
01000838,00000002,000ffffe,48133
010007b8,00000002,000ffffe,48260
01000ab0,00000002,000ffffe,48324
01000a78,00000ec9,00080203,48439
01000af0,00000001,000ffffe,48595
01000a80,00000002,000ffffe,49004
010007b8,00000002,000ffffe,49480
010007ec,00000002,000ffffe,49990
010009a4,00000002,000ffffe,50485
01000838,00000002,000ffffe,50733
01000814,00000003,000ffffd,51098
01000870,00000003,000ffffd,51520
010007fc,00000002,000ffffe,51970
01000ab0,00000002,000ffffe,52196
01000a48,00000002,000ffffe,52549
01000aa0,00000002,000ffffe,52726
01000a48,00000002,000ffffe,52815
01000aac,00000013,00080375,52877
01000ae0,0000000b,00080184,52892
01000a80,00000002,000ffffe,52895
01000a30,00000004,000ffffd,53175
01000954,00000004,000ffffd,53586
01000820,00000003,000ffffe,53791
01000870,00000003,000ffffd,54166
010008a4,00000002,000ffffe,54353
0100093c,00000002,000ffffe,54687
01000830,00000002,000ffffd,55126
010007b8,00000002,000ffffe,55346
01000868,00000006,0008010f,55732
01000a80,00000002,000ffffe,56159
01000ae0,0000000b,000801c0,56384
01000ae0,0000000b,00080175,56764
010008bc,00000002,000ffffe,57185
0100087c,0000002e,000005f1,57684
01000868,00000006,00080088,57872
010007b8,00000002,000ffffe,58222
010007e8,00000006,0008027e,58643
0100091c,00000002,000ffffe,58848
010009b4,00000001,000ffffe,58952
010007d8,00000002,000ffffe,59006
0100092c,0000000b,0008037e,59042
010009c0,00000002,000ffffd,59047
010007b8,00000002,000ffffe,59326
010007d8,00000002,000ffffe,59466
01000ac8,00000007,000ffffd,59813
01000a18,00000002,000ffffe,60251
01000ac8,00000007,000ffffd,60478
0100096c,0000000f,0008027f,60869
010009bc,00000002,000ffffe,61048
01000830,00000002,000ffffd,61384
01000978,00000002,000ffffd,61824
01000978,00000002,000ffffd,62284
01000954,00000004,000ffffd,62788
01000884,00000002,000ffffe,63277
01000a80,00000002,000ffffe,63523
01000aa0,00000002,000ffffe,63886
01000a38,00000002,000ffffe,64068
01000aa0,00000002,000ffffe,64399
01000a64,00000004,000ffffd,64567
010009b0,00000023,00080383,64921
0100089c,00000004,000ffffd,65052
01000884,00000002,000ffffe,65371
010009b0,00000023,00080384,65565
0100092c,0000000b,00080384,65622
010007b0,00000002,000ffffd,65675
01000830,00000002,000ffffd,65686
0100087c,0000002e,000005f1,65736
01000870,00000003,000ffffd,65968
01000870,00000003,000ffffd,66106
010008bc,00000002,000ffffe,66617
01000870,00000003,000ffffd,66704
01000820,00000003,000ffffe,67019
0100091c,00000002,000ffffe,67176
0100096c,000004ba,00080285,67654
01000ab0,00000002,000ffffe,67703
01000aec,00000001,000ffffe,68030
01000814,00000003,000ffffd,68468
010007f4,00000002,000ffffd,68925
010007b8,00000002,000ffffe,69426
010008ec,00000eca,00080097,69438
010008bc,00000002,000ffffe,69677
0100082c,00000019,00080289,69826
01000978,00000002,000ffffd,70106
010007ec,00000002,000ffffe,70258
01000930,00000001,000ffffe,70605
0100087c,00000020,000005f1,71082
01000a78,00000ec9,000801f1,71310
01000a98,00000004,000ffffd,71517
01000ac8,00000007,000ffffd,71752
01000a80,00000002,000ffffe,72103
01000970,00000002,000ffffe,72521
010008a4,00000002,000ffffe,73195
010009b0,00000023,0008038c,73341
010007f4,00000002,000ffffd,73365
0100096c,0000000f,0008028c,73407
010007e8,00000006,0008028c,73413
01000838,00000002,000ffffe,73417
01000838,00000002,000ffffe,73693
01000814,00000003,000ffffd,74104
0100095c,00000002,000ffffe,74819
01000aec,00000001,000ffffe,74938
01000ac8,00000007,000ffffd,75244
01000a48,00000002,000ffffe,75629
010009c8,00000002,000ffffe,76096
010007d8,00000002,000ffffe,76330
01000980,00000002,000ffffe,76687
010008ec,00000eca,00080081,76754
01000954,00000004,000ffffd,76868
01000930,00000001,000ffffe,76955
010008f0,00000002,000ffffd,77273
010007b8,00000002,000ffffe,77432
0100096c,0000000f,00080290,77525
010007fc,00000002,000ffffe,78220
010008ec,00000eca,00080104,78364
01000aa0,00000002,000ffffe,78690
01000a48,00000002,000ffffe,79197
01000aac,00000013,0008038f,79468
0100087c,0000002e,000005f1,79862
0100087c,0000002e,000005f1,80046
010008fc,00000002,000ffffe,80334
010007ec,00000002,000ffffe,80772
010007e8,00000006,00080294,81235
010007e8,00000006,00080294,81465
010008ec,00000eca,000800d7,81608
01000978,00000002,000ffffd,81816
01000930,00000001,000ffffe,81993
01000980,00000002,000ffffe,82323
01000ab0,00000002,000ffffe,82488
01000a18,00000002,000ffffe,82571
01000a48,00000002,000ffffe,82613
01000af0,00000001,000ffffe,82873
01000ae4,00000001,000ffffe,83004
01000a6c,00000002,000ffffe,83071
01000a80,00000002,000ffffe,83529
01000820,00000003,000ffffe,83607
010007d0,00000004,000ffffd,83647
010008bc,00000002,000ffffe,83665
01000914,00000005,000ffffd,83950
010008fc,00000002,000ffffe,84360
010007e8,00000006,00080297,84571
01000870,00000003,000ffffd,84672
0100093c,00000002,000ffffe,84963
010007e8,00000006,00080298,85353
01000820,00000003,000ffffe,85815
01000838,00000002,000ffffe,86047
01000978,00000002,000ffffd,86164
010007e8,00000006,00080299,86227
0100095c,00000002,000ffffe,86253
01000a38,00000002,000ffffe,86540
01000ac8,00000007,000ffffd,86689
01000ae0,0000000b,00080188,87037
01000a78,00000ec9,0008016e,87159
01000954,00000004,000ffffd,87474
0100096c,0000000f,0008029a,87947
0100093c,00000002,000ffffe,88437
01000814,00000003,000ffffd,88690
010007f4,00000002,000ffffd,89055
010009bc,00000002,000ffffe,89690
01000a18,00000002,000ffffe,90068
01000aac,00000013,0008039c,90514
01000aec,00000001,000ffffe,90711
01000aac,00000013,0008039b,90837
01000a30,00000004,000ffffd,91116
01000970,00000002,000ffffe,91501
010007b0,00000002,000ffffd,91695
010007b8,00000002,000ffffe,92064
010007d0,00000004,000ffffd,92251
010007d8,00000002,000ffffe,92342
010007e8,00000006,0008029f,92393
01000914,00000005,000ffffd,92416
01000970,00000002,000ffffe,92697
01000970,00000002,000ffffe,93111
01000820,00000003,000ffffe,93591
0100089c,00000004,000ffffd,93832
01000a44,00000013,000802a0,94207
01000a64,00000004,000ffffd,94612
0100091c,00000002,000ffffe,95060
010008a4,00000002,000ffffe,95557
01000998,00000005,000ffffd,95809
010008f0,00000002,000ffffd,95931
010009bc,00000002,000ffffe,95994
0100091c,00000002,000ffffe,96026
010009b0,00000023,000803a3,96347
010009bc,00000002,000ffffe,96730
0100087c,0000002e,000005f1,97254
01000a64,00000004,000ffffd,97724
01000a30,00000004,000ffffd,98708
010009b0,00000023,000803a5,99223
0100087c,0000002e,000005f1,99716
01000980,00000002,000ffffe,100153
010007d8,00000002,000ffffe,100394
0100093c,00000002,000ffffe,100515
010007b8,00000002,000ffffe,100576
0100093c,00000002,000ffffe,100607
010007d0,00000004,000ffffd,100625
010007f4,00000002,000ffffd,100903
010007e8,00000006,000802a8,101319
01000ad4,00000002,000ffffe,101793
01000a78,00000ec9,000801b2,102001
01000ab0,00000002,000ffffe,102304
01000b04,00000002,000ffffd,102560
0100091c,00000002,000ffffe,102928
01000998,00000005,000ffffd,103355
01000930,00000001,000ffffe,103803
010008d4,00000003,000ffffd,104303
010007f4,00000002,000ffffd,104791
010008b0,00000004,0008010c,105038
010007f4,00000002,000ffffd,105159
010008bc,00000002,000ffffe,105221
01000ab0,00000002,000ffffe,105492
01000ae0,0000000b,000801d4,105637
01000ac8,00000007,000ffffd,105973
01000978,00000002,000ffffd,106410
01000980,00000002,000ffffe,106871
01000998,00000005,000ffffd,107105
0100087c,0000002e,000005f1,107262
01000998,00000005,000ffffd,107519
01000858,00000004,000ffffe,107907
01000930,00000001,000ffffe,108197
010009c0,00000002,000ffffd,108487
010007ec,00000002,000ffffe,108632
0100093c,00000002,000ffffe,108705
010008d4,00000003,000ffffd,108743
010009b4,00000001,000ffffe,108760
010007f4,00000002,000ffffd,108771
01000a18,00000002,000ffffe,109048
01000a6c,00000002,000ffffe,109187
01000a18,00000002,000ffffe,109257
01000a44,00000013,000802ae,109581
01000a64,00000004,000ffffd,109720
01000ab0,00000002,000ffffe,110067
010008fc,00000002,000ffffe,110242
010008d4,00000003,000ffffd,110331
0100087c,0000002e,000005f1,110690
010007b8,00000002,000ffffe,111044
01000838,00000002,000ffffe,111515
01000884,00000002,000ffffe,111751
010008ec,00000eca,000800d0,111884
01000814,00000003,000ffffd,112110
01000850,00000003,000ffffd,112529
01000998,00000005,000ffffd,112741
01000a64,00000004,000ffffd,113117
01000a48,00000002,000ffffe,113304
